2.69 	6.57 	
2.24 	5.59 	
2.56 	4.45 	
2.39 	5.27 	
2.27 	5.29 	
2.72 	5.24 	
2.74 	5.06 	
2.19 	4.68 	
2.12 	5.17 	
1.93 	5.67 	
2.40 	5.80 	
2.03 	5.79 	
2.16 	6.37 	
1.89 	7.22 	
1.90 	5.23 	
2.14 	5.80 	
2.75 	5.95 	
3.05 	6.09 	
2.04 	6.62 	
3.11 	6.30 	
2.72 	5.70 	
2.22 	5.50 	
2.79 	5.39 	
2.20 	5.85 	
3.47 	5.41 	
3.23 	5.34 	
3.40 	7.25 	
3.26 	5.65 	
3.38 	4.76 	
2.57 	4.17 	
2.01 	5.27 	
2.08 	5.02 	
2.18 	4.15 	
2.62 	4.05 	
2.19 	4.24 	
2.30 	3.54 	
2.83 	3.52 	
2.01 	3.95 	
1.81 	4.06 	
1.59 	3.33 	
1.42 	3.06 	
1.35 	4.55 	
2.81 	3.85 	
3.68 	4.17 	
2.53 	3.90 	
3.35 	4.16 	
2.80 	4.06 	
2.25 	5.65 	
2.30 	3.79 	
2.87 	3.92 	
3.15 	4.33 	
2.46 	3.74 	
2.58 	4.86 	
2.83 	4.96 	
2.58 	6.41 	
2.38 	6.74 	
2.61 	7.09 	
2.74 	6.10 	
3.96 	6.25 	
3.25 	6.12 	
2.32 	6.57 	
2.57 	5.45 	
2.08 	4.98 	
2.14 	4.85 	
2.76 	5.05 	
2.67 	5.56 	
2.83 	3.54 	
3.07 	4.47 	
2.66 	4.13 	
2.70 	5.09 	
3.69 	4.08 	
2.92 	3.86 	
2.43 	4.46 	
3.09 	4.88 	
2.56 	4.99 	
2.56 	5.21 	
2.61 	4.39 	
3.05 	4.25 	
3.00 	4.23 	
2.93 	4.40 	
3.17 	4.08 	
3.38 	4.14 	
2.77 	4.92 	
2.66 	4.66 	
2.73 	5.42 	
2.83 	5.43 	
2.72 	5.30 	
2.54 	4.83 	
2.55 	4.97 	
3.11 	4.88 	
3.19 	5.02 	
3.33 	4.77 	
1.53 	4.62 	
3.60 	5.54 	
2.67 	5.64 	
3.01 	4.80 	
2.55 	4.57 	
3.19 	5.29 	
2.83 	5.66 	
2.75 	5.29 	
2.65 	4.91 	
3.06 	5.03 	
2.99 	6.09 	
2.79 	6.18 	
3.26 	5.60 	
3.20 	5.45 	
2.62 	6.44 	
3.80 	5.04 	
2.83 	4.88 	
3.35 	4.56 	
2.91 	4.40 	
2.38 	4.33 	
2.70 	4.92 	
2.51 	4.80 	
3.35 	5.93 	
2.85 	6.01 	
2.69 	6.06 	
2.44 	5.64 	
2.11 	4.54 	
2.11 	3.95 	
1.86 	5.01 	
1.34 	5.22 	
1.88 	3.97 	
2.97 	5.31 	
2.95 	3.94 	
2.42 	4.24 	
1.64 	3.64 	
2.91 	4.02 	
2.65 	3.85 	
2.70 	4.33 	
3.29 	4.96 	
2.82 	4.28 	
3.11 	3.88 	
3.07 	3.84 	
3.07 	4.19 	
2.85 	4.03 	
3.27 	4.37 	
3.55 	4.55 	
2.97 	4.03 	
2.70 	4.29 	
2.96 	5.11 	
3.26 	4.64 	
2.77 	3.99 	
2.65 	3.95 	
3.02 	4.66 	
2.28 	4.73 	
2.14 	5.45 	
2.47 	3.88 	
2.32 	5.29 	
2.11 	4.41 	
2.35 	4.22 	
2.47 	4.51 	
2.41 	4.35 	
2.45 	3.91 	
1.88 	5.33 	
1.58 	5.19 	
2.46 	5.08 	
1.47 	5.95 	
1.02 	4.24 	
1.64 	5.36 	
1.64 	4.80 	
1.11 	6.03 	
1.74 	6.07 	
1.81 	5.50 	
1.94 	4.03 	
1.78 	5.00 	
1.76 	4.20 	
1.79 	4.79 	
1.68 	5.47 	
3.24 	3.72 	
3.15 	5.00 	
3.39 	4.19 	
2.87 	4.56 	
3.81 	5.97 	
3.12 	5.62 	
2.97 	5.84 	
3.50 	3.83 	
3.05 	6.42 	
1.89 	5.34 	
1.84 	4.71 	
1.81 	4.80 	
2.34 	5.32 	
2.54 	4.70 	
1.23 	5.49 	
2.57 	5.99 	
2.47 	4.99 	
2.79 	5.11 	
2.30 	5.56 	
2.41 	5.12 	
2.37 	5.08 	
2.85 	4.72 	
2.73 	6.90 	
2.88 	6.17 	
2.70 	5.47 	
1.29 	5.74 	
1.51 	6.49 	
0.78 	5.63 	
0.95 	5.89 	
1.00 	5.72 	
1.03 	4.69 	
1.26 	5.28 	
2.38 	6.47 	
2.28 	6.20 	
1.55 	6.03 	
1.15 	4.65 	
1.18 	5.02 	
1.42 	5.37 	
1.15 	5.72 	
1.21 	6.79 	
0.87 	6.48 	
1.20 	6.39 	
1.07 	7.02 	
1.00 	6.76 	
1.35 	6.60 	
1.77 	6.49 	
1.63 	6.12 	
0.97 	5.79 	
0.90 	5.95 	
1.38 	5.80 	
2.36 	5.72 	
3.85 	5.70 	
4.07 	5.39 	
3.09 	5.95 	
1.59 	6.79 	
1.88 	5.85 	
1.40 	5.97 	
1.96 	5.05 	
2.46 	6.51 	
2.16 	5.33 	
2.47 	4.64 	
3.27 	5.18 	
2.64 	5.52 	
2.97 	5.55 	
2.92 	4.98 	
2.03 	4.39 	
3.52 	5.70 	
3.81 	5.06 	
3.13 	6.03 	
2.97 	4.11 	
3.27 	5.28 	
3.41 	5.29 	
3.51 	5.05 	
3.05 	4.55 	
3.74 	4.65 	
3.72 	5.02 	
4.53 	5.14 	
4.29 	4.23 	
4.65 	4.36 	
3.05 	4.95 	
1.94 	4.17 	
2.57 	4.72 	
2.89 	4.12 	
3.25 	5.20 	
2.53 	5.04 	
3.03 	4.44 	
2.75 	4.33 	
3.27 	4.28 	
3.54 	4.92 	
3.65 	5.22 	
3.91 	5.55 	
2.93 	5.11 	
3.35 	4.43 	
3.30 	4.26 	
3.00 	3.91 	
2.65 	4.31 	
2.75 	3.55 	
2.95 	3.85 	
3.45 	4.87 	
3.74 	4.23 	
4.10 	4.56 	
3.49 	5.53 	
2.31 	5.66 	
2.80 	5.37 	
2.14 	5.58 	
2.63 	5.03 	
2.75 	5.16 	
1.73 	4.76 	
1.43 	4.36 	
3.23 	4.32 	
2.48 	3.98 	
2.53 	3.88 	
3.05 	4.54 	
2.06 	5.23 	
1.66 	3.67 	
